id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Date
70172,Male,Loyal Customer,13,Personal Travel,Eco Plus,460,3,4,3.0,1,5,3,5,5,4,3.0,4.0,4,5,5,25,18.0,neutral or dissatisfied,2022-10-20
5047,Male,disloyal Customer,25,Business travel,Business,235,3,2,3.0,3,1,3,1,1,1,5.0,3.0,1,4,1,1,6.0,neutral or dissatisfied,2022-10-08
110028,Female,Loyal Customer,26,Business travel,Business,1142,2,2,2.0,2,5,5,5,5,4,3.0,4.0,4,4,5,0,0.0,satisfied,2022-10-11
24026,Female,Loyal Customer,25,Business travel,Business,562,2,5,5.0,5,2,2,2,2,2,5.0,3.0,1,4,2,11,9.0,neutral or dissatisfied,2022-10-25
119299,Male,Loyal Customer,61,Business travel,Business,214,3,3,3.0,3,4,5,5,3,3,4.0,4.0,3,3,3,0,0.0,satisfied,2022-10-23
111157,Female,Loyal Customer,26,Personal Travel,Eco,1180,3,4,2.0,1,1,2,1,1,3,4.0,4.0,4,4,1,0,0.0,neutral or dissatisfied,2022-10-10
82113,Male,Loyal Customer,47,Personal Travel,Eco,1276,2,4,2.0,3,2,2,2,2,3,3.0,4.0,3,5,2,9,23.0,neutral or dissatisfied,2022-10-07
96462,Female,Loyal Customer,52,Business travel,Business,2035,4,3,4.0,4,5,5,5,5,5,5.0,5.0,4,5,4,4,0.0,satisfied,2022-10-11
79485,Female,Loyal Customer,41,Business travel,Business,853,1,2,2.0,2,4,3,3,1,1,2.0,1.0,4,1,2,0,0.0,neutral or dissatisfied,2022-10-28
65725,Male,disloyal Customer,20,Business travel,Eco,1061,3,3,3.0,4,2,3,3,2,2,3.0,4.0,4,3,2,0,0.0,neutral or dissatisfied,2022-10-14
34991,Female,disloyal Customer,24,Business travel,Eco,1182,4,5,5.0,4,2,5,2,2,3,3.0,5.0,3,5,2,0,0.0,neutral or dissatisfied,2022-10-20
51412,Female,Loyal Customer,12,Personal Travel,Eco Plus,308,2,4,2.0,2,1,2,1,1,1,2.0,,5,5,1,0,0.0,neutral or dissatisfied,2022-10-29
98628,Male,Loyal Customer,53,Business travel,Eco,834,1,4,4.0,4,1,1,1,1,1,1.0,3.0,4,4,1,28,8.0,neutral or dissatisfied,2022-10-22
83502,Male,Loyal Customer,33,Personal Travel,Eco,946,4,2,4.0,3,4,4,4,4,4,5.0,2.0,2,2,4,0,0.0,satisfied,2022-10-22
95789,Female,Loyal Customer,26,Personal Travel,Eco,453,3,2,3.0,2,2,3,2,2,4,3.0,2.0,2,1,2,43,35.0,neutral or dissatisfied,2022-10-17
100580,Male,disloyal Customer,13,Business travel,Eco,486,2,1,2.0,3,4,2,1,4,2,1.0,4.0,1,3,4,1,0.0,neutral or dissatisfied,2022-10-17
